,x,y,z,lon,lat,exhumeRate,exRateErr,ageMean,ageMeanSerr
48,463392.6382753913,1775545.3309627536,1107.142857142857,163.80222310720194,-74.10799654081035,411.10515097505055,173.54115152355354,44.771428571428565,4.809500235680085
49,463392.6382753913,1775545.3309627536,1107.142857142857,163.80222310720194,-74.10799654081035,411.10515097505055,173.54115152355354,44.771428571428565,4.809500235680085
50,453031.107796606,1820793.6288824747,2151.4285714285716,163.500552295549,-73.70042089671979,1262.8764686193826,,38.65714285714285,0.5719045636572347
51,453031.107796606,1820793.6288824747,2151.4285714285716,163.500552295549,-73.70042089671979,1260.9178408627988,,38.65714285714286,0.5719045636572347
52,453031.107796606,1820793.6288824747,2151.4285714285716,163.500552295549,-73.70042089671979,1262.8764686193867,,38.65714285714285,0.5719045636572347
53,453031.107796606,1820793.6288824747,2151.4285714285716,163.500552295549,-73.70042089671979,1262.643052645534,,38.65714285714286,0.5719045636572347
54,453031.107796606,1820793.6288824747,2151.4285714285716,163.500552295549,-73.70042089671979,1260.9178408627988,,38.65714285714286,0.5719045636572347
55,453031.107796606,1820793.6288824747,2151.4285714285716,163.500552295549,-73.70042089671979,1260.917840862798,,38.65714285714286,0.5719045636572347
56,453031.107796606,1820793.6288824747,1414.2857142857142,163.500552295549,-73.70042089671979,308.55518835685024,,36.942857142857136,1.5591293576036256
57,453031.107796606,1820793.6288824747,1414.2857142857142,163.500552295549,-73.70042089671979,308.55518835685024,,36.942857142857136,1.5591293576036256
58,476375.2449036221,1782928.566230906,589.2857142857143,164.2300668705405,-74.0437482325392,237.93516626981614,113.77065596944887,34.01428571428572,2.8937065184579427
59,476375.2449036221,1782928.566230906,589.2857142857143,164.2300668705405,-74.0437482325392,237.9351662698156,113.77065596944837,34.01428571428572,2.8937065184579427
60,476375.2449036221,1782928.566230906,589.2857142857143,164.2300668705405,-74.0437482325392,237.9351662698156,113.77065596944837,34.01428571428571,2.8937065184579427
